client,client_entities_total,bank,entities_at_bank,accounts_at_bank,active_accounts_at_bank,tx_total,tx_last_90d
Farmacias San Ignacio,74,BBVA,73,93,84,"467,622","275,038"
Grupo Abreu,23,BBVA,23,44,44,"55,149","10,376"
"MangoCenter, C.A.",1,BBVA,1,3,3,"35,215","9,635"
FARMABIEN,1,BBVA,1,3,3,"9,351","8,342"
NETUNO,3,BBVA,1,12,11,"29,843","7,559"
APB GROUP,11,BBVA,11,22,18,"11,900","7,123"
Cines unidos,2,BBVA,2,7,6,"76,457","7,114"
"Corporación JSL, C.A.",1,BBVA,1,9,3,"24,680","6,475"
Protinal,12,BBVA,6,12,6,"6,567","5,321"
AVICOLA LAS TUNAS,2,BBVA,2,4,3,"9,804","5,080"
"Alimentos Alvarigua, c.a.",1,BBVA,1,9,5,"19,719","5,020"
alimentosmunchy,1,BBVA,1,4,3,"24,295","4,748"
Grupo Ama de casa,3,BBVA,3,10,8,"38,936","4,395"
Grupo Mimesa,3,BBVA,3,9,8,"32,182","4,241"
Centro Medico de Oncologia,1,BBVA,1,1,1,"7,091","3,399"
Asoportuguesa,5,BBVA,4,11,11,"14,061","3,236"
Gruporica,2,BBVA,2,10,10,"8,194","3,206"
PASTCA,1,BBVA,1,3,3,"46,853","2,921"
Empresas Tapa Amarilla,2,BBVA,1,5,4,"9,187","2,499"
CORPORACION BEL,17,BBVA,2,3,3,"4,090","2,423"
Maxy Sweet,5,BBVA,2,3,3,"5,240","2,381"
Grupo Landa,8,BBVA,4,8,7,"15,520","2,201"
GRUPO MOLINA VIAJES ,2,BBVA,2,3,2,"8,579","2,195"
INQUIPORT,1,BBVA,1,7,3,"2,227","2,146"
Covencaucho,1,BBVA,1,17,14,"2,147","2,144"
MOTASA,4,BBVA,3,5,3,"12,062","2,002"
Casagri de Lara ,1,BBVA,1,5,3,"5,426","1,967"
ALIMENTOS LPRADO,2,BBVA,1,2,2,"10,998","1,852"
"Estar Seguros, S.A.",1,BBVA,1,2,2,"10,409","1,716"
GRUPO DINAMO,5,BBVA,5,9,8,"11,092","1,709"
Laboratorios Elmor,3,BBVA,3,4,4,"14,782","1,707"
MARCAS PROPIAS,2,BBVA,2,4,3,"2,242","1,692"
Marambio Rivillo Perez Pineda,3,BBVA,3,5,4,"16,676","1,644"
CAMOR INTERNACIONAL,9,BBVA,3,6,3,"3,539","1,614"
EUROMERCADO C.A.,2,BBVA,2,5,4,"1,626","1,395"
Grupo Maralac,4,BBVA,3,4,4,"5,220","1,298"
Grupo Leiros,13,BBVA,8,10,10,"6,205","1,244"
suvica,3,BBVA,3,3,3,"4,756","1,199"
Cencozotti,1,BBVA,1,2,1,"2,241","1,070"
Megalabs,1,BBVA,1,5,3,"3,383",926
SEGVEN,1,BBVA,1,4,4,"2,707",908
Bandecorp,7,BBVA,1,3,3,"2,217",899
Grupo Ramvall,5,BBVA,1,2,2,"1,867",879
Grupo Quo Vadis,1,BBVA,1,4,4,"4,556",853
Pharmakum,2,BBVA,2,4,3,"3,841",847
Procesadora Marsoca,3,BBVA,1,3,2,"10,656",836
TORONDOY,2,BBVA,1,5,3,"3,422",740
Valles del Turbio,2,BBVA,1,5,5,"3,448",716
Tesote Ventas,1,BBVA,1,5,5,928,714
Laboratorios Biotech ,2,BBVA,2,3,3,"1,521",525
Arawak,1,BBVA,1,2,2,503,503
Capitalfoods,2,BBVA,1,2,2,"3,015",468
