client	client_entities_total	bank	entities_at_bank	accounts_at_bank	active_accounts_at_bank	tx_last_90d
Agroavicola del Llano	1	Banesco	1	2	1	490
Agroavicola del Llano	1	Mercantil	1	2	1	265
Alimentos Alvarigua, c.a.	1	Banesco	1	3	3	9665
Alimentos Alvarigua, c.a.	1	Mercantil	1	2	1	3295
Alimentos Alvarigua, c.a.	1	Bancaribe	1	2	1	450
Alimentos Global	4	Banesco	4	15	9	5368
Alimentos Global	4	Mercantil	2	2	2	478
ALIMENTOS LPRADO	2	Banesco	2	4	2	8673
ALIMENTOS LPRADO	2	Mercantil	2	3	2	2348
ALIMENTOS LPRADO	2	Bancaribe	1	1	1	159
alimentosmunchy	1	Banesco	1	2	1	6912
alimentosmunchy	1	Mercantil	1	3	2	2809
alimentosmunchy	1	Bancaribe	1	3	2	535
APB GROUP	11	Banesco	10	22	10	3930
APB GROUP	11	Mercantil	8	22	7	1962
APB GROUP	11	Bancaribe	8	16	8	671
Arawak	1	Banesco	1	2	1	878
Arawak	1	Mercantil	1	1	1	961
ARMI	1	Mercantil	1	2	2	1855
Asoportuguesa	4	Banesco	3	6	4	2435
Asoportuguesa	4	Mercantil	3	11	3	1398
Asoportuguesa	4	Bancaribe	3	8	5	614
AVICOLA LAS TUNAS	2	Banesco	1	3	2	570
AVICOLA LAS TUNAS	2	Mercantil	2	5	4	6951
AVICOLA LAS TUNAS	2	Bancaribe	1	2	2	88
Bandecorp	7	Banesco	2	3	2	2832
Bandecorp	7	Mercantil	1	2	2	299
Bandecorp	7	Bancaribe	7	10	8	1347
Besser	1	Banesco	1	2	2	835
CALA	1	Mercantil	1	3	0	0
CAMOR INTERNACIONAL	8	Banesco	8	41	32	61511
CAMOR INTERNACIONAL	8	Mercantil	6	10	6	29550
Canguro Venezuela	11	Banesco	10	12	10	54307
Canguro Venezuela	11	Mercantil	1	3	1	123
Canguro Venezuela	11	Bancaribe	3	6	4	8533
Capitalfoods	2	Banesco	2	5	3	3171
Capitalfoods	2	Mercantil	2	5	3	829
Capitalfoods	2	Bancaribe	2	4	2	362
Casagri de Lara	1	Banesco	1	2	2	3036
Casagri de Lara	1	Mercantil	1	7	3	2402
Casagri de Lara	1	Bancaribe	1	2	2	224
Cencozotti	1	Banesco	1	2	2	744
Cencozotti	1	Mercantil	1	3	3	1020
Centro Medico de Oncologia	1	Banesco	1	1	1	2144
Centro Medico de Oncologia	1	Mercantil	1	2	1	1988
Centro Medico de Oncologia	1	Bancaribe	1	2	1	506
Cines unidos	2	Banesco	2	8	7	18769
Cines unidos	2	Mercantil	2	6	4	29930
Comercializadora Tiares CA	1	Banesco	1	3	1	1812
Comercializadora Tiares CA	1	Mercantil	1	5	5	3133
CONSORCIO MEDISOLUTIONS	7	Banesco	5	10	0	0
CONSORCIO MEDISOLUTIONS	7	Mercantil	6	19	0	0
corpoeureka	1	Bancaribe	1	5	3	2191
Corporación Angles	1	Mercantil	1	12	10	5676
CORPORACION BEL	17	Banesco	17	29	9	4583
CORPORACION BEL	17	Bancaribe	1	2	2	264
Corporación JSL, C.A.	1	Banesco	1	4	2	1780
Corporación JSL, C.A.	1	Mercantil	1	4	2	3664
Corporación Tu Aliado Digital	3	Banesco	1	1	1	212
Corporación Tu Aliado Digital	3	Mercantil	3	11	4	3195
Corporación Tu Aliado Digital	3	Bancaribe	1	3	2	339
COSEIMPA	2	Banesco	2	4	4	7969
COSEIMPA	2	Mercantil	2	23	9	7338
COSEIMPA	2	Bancaribe	2	3	2	159
