client,total_entities,active_bank_accounts,tx_last_90d,tx_total,mrr_usd
NETUNO,3,33,389327,1395626,1499
Farmacias San Ignacio,74,141,385181,688618,2000
Grupo Abreu,23,111,333711,2185367,2199
Supermercados Rio Vida,3,9,132391,513947,250
FARMABIEN,1,19,130085,148942,1000
CAMOR INTERNACIONAL,9,41,92675,341935,1100
Canguro Venezuela,11,17,62969,197234,1350
Gruporica,2,30,61527,142608,449
Cines unidos,2,17,55813,504502,225
INVERSIONES PAD 21,8,24,40124,145651,750
Grupo UP,3,14,38943,147762,999
"Estar Seguros, S.A.",1,5,25453,144289,549
MARCAS PROPIAS,2,15,21836,35520,1900
"Alimentos Alvarigua, c.a.",1,10,18432,71262,449
Protinal,12,21,15936,18873,600
"MangoCenter, C.A.",1,5,15677,54297,649
COSEIMPA,2,15,15474,65147,500
alimentosmunchy,1,8,15004,67709,1000
Grupo Landa,8,36,14817,102819,375
Grupo cashea,1,12,14389,34041,7000
APB GROUP,11,43,13686,21596,650
Maxy Sweet,5,14,13467,24785,450
ALIMENTOS LPRADO,2,7,13032,79834,999
AVICOLA LAS TUNAS,2,11,12689,31366,799
Grupo Leiros,13,26,12344,58504,699
"Corporación JSL, C.A.",1,7,12073,60605,599
Tealca,1,8,9534,361579,300
PASTCA,1,8,9318,76488,349
Procesadora Marsoca,3,10,8860,45900,350
Centro Medico de Oncologia,1,4,8037,17010,650
Grupo Mimesa,3,13,7944,69506,1500
Asoportuguesa,5,23,7683,27639,750
Casagri de Lara,1,10,7629,20466,700
PLAN B,23,35,7287,35892,999
CORPORACION BEL,17,14,7270,17227,800
KAIZEN,10,12,7181,38084,3000
Grupo NSM,14,20,7137,27037,499
Empresas Tapa Amarilla,2,6,7068,25993,599
Grupo Gipsy,16,21,6779,56983,1000
Grupo Ama de casa,3,15,6407,58307,250
Alimentos Global,5,12,6172,16527,400
Yummy,3,8,6099,16836,500
Soluciones Tu Gruero,1,1,6049,20194,449
EOODI,4,12,5785,21883,1000
Corporación Angles,1,10,5676,21725,349
VIVA SUPERCENTRO,1,3,5388,24595,749
Bandecorp,7,15,5377,15016,900
Megalabs,1,5,5313,17557,800
Comercializadora Tiares CA,1,8,5200,15538,350
suvica,3,6,5177,18059,500
Grupo Maralac,4,9,4904,27549,299
Grupo Ramvall,5,13,4874,11883,900
Grupo Nueve Once,2,3,4832,29809,449
Capitalfoods,2,10,4830,16871,449
Socado Coffee Bar,1,8,4775,13448,400
SEGVEN,1,18,4695,13046,849
Grupo Del Este,6,13,4628,16690,300
Cruz Roja,1,12,4537,8515,875
GRUPO DINAMO,5,14,4419,26608,375
PINECO,4,5,4199,15376,450
Grupo Quo Vadis,1,11,4081,19346,349
GRUPO MOLINA VIAJES,2,8,4049,17349,450
MOTASA,4,7,3917,17615,350
Crixto Venezuela,1,1,3773,4083,1999
Corporación Tu Aliado Digital,3,7,3746,3754,1000
Laboratorios Biotech,2,7,3200,8464,350
Laboratorios Elmor,3,9,2887,26130,349
Cencozotti,1,6,2834,12245,449
TORONDOY,2,9,2820,13310,1000
Arawak,1,4,2342,5885,475
Real Seguros S.A.,1,9,2236,6570,1250
EUROMERCADO C.A.,2,5,2210,2544,777.81
INQUIPORT,1,4,2206,2288,1000
corpoeureka,1,3,2191,8200,
Covencaucho,1,14,2144,2147,1750
Valles del Turbio,2,11,2033,11731,250
Sizuca,1,6,2028,12838,350
Noordzee Fantasie Luxury Group,1,3,1952,2470,
Grupo traki,1,1,1855,10914,349
ARMI,1,2,1855,8484,300
"TAMAYO & CIA.,S.A.",2,8,1817,13075,300
Pharmakum,2,7,1756,7207,600
Marambio Rivillo Perez Pineda,3,5,1684,17101,50
Grupo Vertice,10,10,1119,1124,3150
LABORATORIOS KIMICEG C.A,1,3,1064,3732,449
Prevaler,1,1,996,998,1150
Disbattery Lubricantes S.A,1,2,883,7621,750
Besser,1,2,835,835,750
herramientas sbdk,1,1,803,806,
FLETY,2,3,759,5814,130
Agroavicola del Llano,1,2,755,757,3500
Grupo Velutini,9,16,745,11582,1999
Crecer,2,6,435,24813,3000
Grupo Parawa,4,2,425,29153,350
FIVENCA,5,17,422,2357,500
La Sante,1,1,370,3018,350
GRUPO BAZZI,2,2,355,3067,450
Curiara,1,1,351,8197,350
Sanu Corp,2,2,249,3244,249
GRUPO MAR,1,1,141,1258,450
Somos Jomi C.A,1,1,90,249,349
Tendencia Virtual,1,1,17,3558,
"Distribuidora Inmarket, C.A.",1,0,0,39,300
Grupo Avila,5,0,0,4041,750
GRUPO FUTURA,11,0,0,25291,1000
CONSORCIO MEDISOLUTIONS,7,0,0,7687,379
CALA,2,0,0,3740,100
EWAY,1,0,0,184,449
"Supermercados Luxor, C.A.",10,0,0,42875,750
Koopex,1,0,0,2461,
Grupo Canaima,176,0,0,37981,750
Hispana de Seguros,1,0,0,79544,599
Granos Sagrados,1,0,0,139,650
ANV,1,0,0,696,
Dimassi,1,0,0,3583,1500
Ridery,1,0,0,40,
ROBUST TIRES Finanzas Corporativas,1,0,0,910,650
goliiive,1,0,0,1284,350
Grupoforum,26,0,0,15758,2399
Victum Legal,1,0,0,722,100
Welf,1,0,0,78,349
