client,client_entities_total,bank,entities_at_bank,accounts_at_bank,active_accounts_at_bank,tx_total,tx_last_90d,monthly_amount_usd,mrr_usd,hubspot_deal,match_confidence
Farmacias San Ignacio,74,BBVA,73,93,84,467622,275038,1500,2000,Red de farmacias San Ignacio,medium
Grupo Abreu,23,BBVA,23,44,44,55149,10376,2199,,Grupo Abreu,high
"MangoCenter, C.A.",1,BBVA,1,3,3,35215,9635,649,,Mangocenter,high
FARMABIEN,1,BBVA,1,3,3,9351,8342,1000,,Farmabien,high
NETUNO,3,BBVA,1,12,11,29843,7559,1499,,NetUno,high
APB GROUP,11,BBVA,11,22,18,11900,7123,650,650,APB Group,high
Cines unidos,2,BBVA,2,7,6,76457,7114,225,,Cines Unidos,high
"Corporación JSL, C.A.",1,BBVA,1,9,3,24680,6475,599,,Crustissimo,high
Protinal,12,BBVA,6,12,6,6567,5321,600,600,Protinal Proagro,high
AVICOLA LAS TUNAS,2,BBVA,2,4,3,9804,5080,799,799,Alimentos Las Tunas C.A,high
"Alimentos Alvarigua, c.a.",1,BBVA,1,9,5,19719,5020,449,,Alvarigua,high
alimentosmunchy,1,BBVA,1,4,3,24295,4748,1000,,Alimentos Munchy,high
Grupo Ama de casa,3,BBVA,3,10,8,38936,4395,250,,Ama de Casa,medium
Grupo Mimesa,3,BBVA,3,9,8,32182,4241,750,1500,Grupo Mimesa,high
Centro Medico de Oncologia,1,BBVA,1,1,1,7091,3399,455,650,Centro Medico de Oncologia - New Deal,high
Asoportuguesa,5,BBVA,4,11,11,14061,3236,750,,ASOPORTUGUESA,high
Gruporica,2,BBVA,2,10,10,8194,3206,449,,Grupo Rica,high
PASTCA,1,BBVA,1,3,3,46853,2921,349,,Paisa (Pasteurizadora Táchira),high
Empresas Tapa Amarilla,2,BBVA,1,5,4,9187,2499,599,,Empresas Tapa Amarilla,high
CORPORACION BEL,17,BBVA,2,3,3,4090,2423,500,800,Corporación Bel,high
Maxy Sweet,5,BBVA,2,3,3,5240,2381,315,450,Maxy Sweet (Grupo Da Silva),high
Grupo Landa,8,BBVA,4,8,7,15520,2201,375,,Grupo Landa,high
GRUPO MOLINA VIAJES,2,BBVA,2,3,2,8579,2195,450,,Molina Viajes,high
INQUIPORT,1,BBVA,1,7,3,2227,2146,1000,,Inquiport,high
Covencaucho,1,BBVA,1,17,14,2147,2144,1750,,Covencaucho Industrias S.A,medium
MOTASA,4,BBVA,3,5,3,12062,2002,350,,Motasa,high
