client	monthly_amount_usd	mrr_usd	hubspot_deal	match_confidence
Agroavicola del Llano	3500		Agroavícola del Llano	high
Alimentos Alvarigua, c.a.	449		Alvarigua	high
Alimentos Global	400	400	Comercializadora de Alimentos Global M&P, C.A	high
ALIMENTOS LPRADO	999		Alimentos L'Prado	high
alimentosmunchy	1000		Alimentos Munchy	high
APB GROUP	650	650	APB Group	high
Arawak	332.5	475	Alimentos Arawak	high
ARMI	300		Armi	high
Asoportuguesa	750		ASOPORTUGUESA	high
AVICOLA LAS TUNAS	799	799	Alimentos Las Tunas C.A	high
Bandecorp	1000	900	Bande Corp	high
Besser	750		Besser Solutions - New Deal	medium
CALA	100		CALA	high
CAMOR INTERNACIONAL	1100		Camor International	high
Canguro Venezuela	1350		Canguro Venezuela	high
Capitalfoods	449		Capital Foods	high
Casagri de Lara	490	700	Casagri	high
Cencozotti	449		Cencozotti	high
Centro Medico de Oncologia	455	650	Centro Medico de Oncologia - New Deal	high
Cines unidos	225		Cines Unidos	high
Comercializadora Tiares CA	350	350	Comercializadora Tiares	high
CONSORCIO MEDISOLUTIONS	379		Grupo Medisolutions	high
CORPORACION BEL	500	800	Corporación Bel	high
Corporación Angles	349		Corporación Angles	high
Corporación JSL, C.A.	599		Crustissimo	high
Corporación Tu Aliado Digital	1000		Tu Aliado Venezuela	high
COSEIMPA	500		Coseimpa	high
Covencaucho	1750		Covencaucho Industrias S.A	medium
Crecer	3000		Seguros Crecer	high
Crixto Venezuela	1999	1999	Crixto	high
Cruz Roja	612.5	875	Cruz Roja Venezolana	high
Curiara	350		Curiara	high
Dimassi	1200	1500	Di Massi	high
Disbattery Lubricantes S.A	750		Disbattery	medium
Distribuidora Inmarket, C.A.	300		Distribuidora Inmarket	high
Empresas Tapa Amarilla	599		Empresas Tapa Amarilla	high
EOODI	800	1000	En Otro Orden de Ideas	high
Estar Seguros, S.A.	549		Estar Seguros, S.A.	high
EUROMERCADO C.A.	729	777.81	Euromercado	high
EWAY	449		Eway	high
FARMABIEN	1000		Farmabien	high
Farmacias San Ignacio	1500	2000	Red de farmacias San Ignacio	medium
FIVENCA	500		Fivenca	high
FLETY	130		Flety	high
goliiive	350		goliiive	high
Granos Sagrados	650	650	Granos Sagrados Trading Corp - New Deal	high
Grupo Abreu	2199		Grupo Abreu	high
Grupo Ama de casa	250		Ama de Casa	medium
Grupo Avila	750		Grupo Avila	high
GRUPO BAZZI	450		Grupo Bazzi	high
Grupo Canaima	750		Grupo Canaima	high
Grupo cashea	7000	7000	Cashea	high
Grupo Del Este	300		Grupo del Este	high
GRUPO DINAMO	375		Dinamo	high
GRUPO FUTURA	1000		Futura Retail	high
Grupo Gipsy	1000		Grupo Gipsy	high
Grupo Landa	375		Grupo Landa	high
Grupo Leiros	699		Grupo Leiros	high
GRUPO MAR	450		Casa MAR	high
Grupo Maralac	299		Grupo Maralac	high
Grupo Mimesa	750	1500	Grupo Mimesa	high
GRUPO MOLINA VIAJES	450		Molina Viajes	high
Grupo NSM	499		Grupo NSM	high
Grupo Nueve Once	449		Grupo Nueve Once	high
Grupo Parawa	350		Grupo Parawa	high
Grupo Quo Vadis	349		Quo Vadis Viajes	high
Grupo Ramvall	600	900	Latinbien (Grupo Ramvall)	high
Grupo traki	349		Traki	high
Grupo UP	999		Constructora Pedeca	high
Grupo Velutini	1999		Grupo Velutini	high
Grupo Vertice	3150		Mykonos	high
Grupoforum	2399		Forum Supermayorista	high
Gruporica	449		Grupo Rica	high
Hispana de Seguros	599		Hispana de Seguros	high
INQUIPORT	1000		Inquiport	high
INVERSIONES PAD 21	750		Inversiones PAD 21	high
KAIZEN	3000		Kaizen	high
La Sante	350		La Sante	high
Laboratorios Biotech	350	350	Laboratorios Biotech	high
Laboratorios Elmor	349		Elmor	high
LABORATORIOS KIMICEG C.A	449		LABORATORIOS KIMICEG	high
MangoCenter, C.A.	649		Mangocenter	high
Marambio Rivillo Perez Pineda	50		Marambio Rivillo Perez Pineda	high
MARCAS PROPIAS	1900		Balú - Grupo Futura	high
Maxy Sweet	315	450	Maxy Sweet (Grupo Da Silva)	high
Megalabs	800		Megalabs	high
MOTASA	350		Motasa	high
NETUNO	1499		NetUno	high
PASTCA	349		Paisa (Pasteurizadora Táchira)	high
Pharmakum	693	600	Laboratorios Pharmakum	high
PINECO	450		Pineco	high
PLAN B	999		Plan B	high
Prevaler	1150		Prevaler	high
Procesadora Marsoca	350		Marsoca	high
Protinal	600	600	Protinal Proagro	high
Real Seguros S.A.	1000	1250	Real Seguros	high
ROBUST TIRES Finanzas Corporativas	455	650	Robust Tires	medium
Sanu Corp	249		Sanucorp	high
SEGVEN	849	849	Seguros Venezuela	high
Sizuca	350		Sizuca	high
Socado Coffee Bar	400		Socado	medium
Soluciones Tu Gruero	449		Tu Gruero	high
Somos Jomi C.A	349		Jomi App	high
Supermercados Luxor, C.A.	750		Supermercados Luxor	high
Supermercados Rio Vida	250		Supermercados RioVida	high
suvica	500		Suvica	high
TAMAYO & CIA.,S.A.	300		Tamayo & CIA S.A	high
Tealca	300		Tealca	high
TORONDOY	800	1000	Lácteos Torondoy	high
Valles del Turbio	250	250	Importadora VDT	high
Victum Legal	100		VICTUM LEGAL	high
VIVA SUPERCENTRO	749		Viva Supercentro	high
Welf	349		GSI Food	high
Yummy	500		Yummy	high
ANV				no_won_deal
corpoeureka				no_won_deal
herramientas sbdk				no_won_deal
Koopex				no_won_deal
Noordzee Fantasie Luxury Group				no_won_deal
Ridery				no_won_deal
Tendencia Virtual				no_won_deal
