input_name,workspace_name,vol_rank,count_rank,bank,tx_count,in_tx,out_tx,volume_ves,volume_usd,in_ves,out_ves
"Alimentos Alvarigua, c.a.","Alimentos Alvarigua, c.a.",1,3,BBVA,"1,520","1,001",519,"4,974,066,627","9,948,133","2,228,515,703","2,745,550,924"
"Alimentos Alvarigua, c.a.","Alimentos Alvarigua, c.a.",2,1,Banesco,"2,855","1,881",974,"4,006,018,603","8,012,037","1,986,310,391","2,019,708,212"
"Alimentos Alvarigua, c.a.","Alimentos Alvarigua, c.a.",3,2,Banco de Venezuela,"2,505","1,906",599,"2,400,270,281","4,800,541","1,196,214,531","1,204,055,750"
"Alimentos Alvarigua, c.a.","Alimentos Alvarigua, c.a.",4,4,Mercantil,950,472,478,"635,494,603","1,270,989","316,497,751","318,996,852"
"Alimentos Alvarigua, c.a.","Alimentos Alvarigua, c.a.",5,5,Bancaribe,137,54,83,"119,154,519","238,309","63,579,394","55,575,124"
ALIMENTOS DOÑA EMILIA,ALIMENTOS DOÑA EMILIA,1,1,BBVA,584,234,350,"1,489,463,862","2,978,928","745,123,343","744,340,519"
ALIMENTOS DOÑA EMILIA,ALIMENTOS DOÑA EMILIA,2,2,Banesco,572,264,308,"1,144,011,269","2,288,023","579,866,475","564,144,794"
ALIMENTOS DOÑA EMILIA,ALIMENTOS DOÑA EMILIA,3,4,Banco de Venezuela,382,258,124,"1,063,220,551","2,126,441","538,739,401","524,481,150"
ALIMENTOS DOÑA EMILIA,ALIMENTOS DOÑA EMILIA,4,3,BNC,473,55,418,"771,355,051","1,542,710","149,632,901","621,722,150"
ALIMENTOS DOÑA EMILIA,ALIMENTOS DOÑA EMILIA,5,5,Mercantil,204,45,159,"334,455,086","668,910","165,665,160","168,789,926"
Alimentos Global,Alimentos Global,1,2,Banesco,"1,685","1,069",616,"558,572,386","1,117,145","295,829,404","262,742,982"
Alimentos Global,Alimentos Global,2,1,Banco de Venezuela,"2,535","1,424","1,111","513,037,301","1,026,075","252,130,601","260,906,700"
Alimentos Global,Alimentos Global,3,5,BBVA,116,82,34,"73,252,824","146,506","36,581,323","36,671,501"
Alimentos Global,Alimentos Global,4,4,Mercantil,171,122,49,"42,389,050","84,778","23,393,748","18,995,302"
Alimentos Global,Alimentos Global,5,3,Banco Del Tesoro,256,80,176,"15,606,937","31,214","7,085,556","8,521,381"
ALIMENTOS LPRADO,ALIMENTOS LPRADO,1,1,Banesco,"2,748","2,026",722,"2,902,064,903","5,804,130","1,442,602,112","1,459,462,791"
ALIMENTOS LPRADO,ALIMENTOS LPRADO,2,3,Mercantil,840,542,298,"1,967,161,453","3,934,323","971,709,070","995,452,382"
ALIMENTOS LPRADO,ALIMENTOS LPRADO,3,2,Banco de Venezuela,"1,282",970,312,"1,635,404,248","3,270,808","803,266,487","832,137,761"
ALIMENTOS LPRADO,ALIMENTOS LPRADO,4,6,BNC,420,247,173,"676,488,442","1,352,977","340,039,944","336,448,498"
ALIMENTOS LPRADO,ALIMENTOS LPRADO,5,4,BBVA,709,524,185,"383,438,309","766,877","188,130,382","195,307,927"
alimentosmunchy,alimentosmunchy,1,2,BBVA,"1,656",886,770,"1,270,832,730","2,541,665","574,941,902","695,890,828"
alimentosmunchy,alimentosmunchy,2,1,Banesco,"2,196","1,503",693,"1,138,512,320","2,277,025","528,501,501","610,010,819"
alimentosmunchy,alimentosmunchy,3,4,Mercantil,931,680,251,"966,742,627","1,933,485","473,129,534","493,613,093"
alimentosmunchy,alimentosmunchy,4,3,Banco de Venezuela,"1,383",792,591,"947,761,381","1,895,523","472,810,060","474,951,321"
alimentosmunchy,alimentosmunchy,5,5,BNC,361,232,129,"219,366,889","438,734","108,715,840","110,651,049"
ALMACENADORA ASOPORTUGUESA,ALMACENADORA ASOPORTUGUESA,1,1,Banco de Venezuela,371,110,261,"1,047,037,156","2,094,074","508,979,231","538,057,925"
ALMACENADORA ASOPORTUGUESA,ALMACENADORA ASOPORTUGUESA,2,4,BBVA,262,120,142,"440,212,333","880,425","218,173,681","222,038,652"
ALMACENADORA ASOPORTUGUESA,ALMACENADORA ASOPORTUGUESA,3,3,Mercantil,312,82,230,"355,894,390","711,789","177,690,606","178,203,784"
ALMACENADORA ASOPORTUGUESA,ALMACENADORA ASOPORTUGUESA,4,7,Banco Fondo Comun,100,26,74,"351,369,845","702,740","172,706,759","178,663,087"
ALMACENADORA ASOPORTUGUESA,ALMACENADORA ASOPORTUGUESA,5,2,Banesco,313,153,160,"347,560,117","695,120","174,113,432","173,446,686"
ARAWAK,ARAWAK,1,1,Mercantil,361,39,322,"99,159,499","198,319","46,354,669","52,804,830"
ARAWAK,ARAWAK,2,3,Banesco,225,41,184,"45,694,144","91,388","22,698,437","22,995,707"
ARAWAK,ARAWAK,3,2,BBVA,231,78,153,"44,954,686","89,909","22,667,512","22,287,175"
ARAWAK,ARAWAK,4,4,BNC,3,2,1,"534,566","1,069","534,558",8
Asoportuguesa,Asoportuguesa,1,2,Banco de Venezuela,885,369,516,"2,721,546,142","5,443,092","1,370,495,506","1,351,050,636"
Asoportuguesa,Asoportuguesa,2,1,BBVA,979,402,577,"2,586,918,054","5,173,836","1,261,693,336","1,325,224,718"
Asoportuguesa,Asoportuguesa,3,3,Banesco,111,33,78,"235,158,577","470,317","117,583,515","117,575,062"
Asoportuguesa,Asoportuguesa,4,4,Banco Fondo Comun,67,6,61,"28,718,028","57,436","13,585,196","15,132,832"
Asoportuguesa,Asoportuguesa,5,6,Bancaribe,18,3,15,"21,820,572","43,641","10,376,674","11,443,898"
ASOPRODUCTOS,ASOPRODUCTOS,1,1,BNC,21,1,20,"20,080,000","40,160","10,050,000","10,030,000"
ASOPRODUCTOS,ASOPRODUCTOS,2,2,BBVA,19,3,16,"3,142,989","6,286","1,128,079","2,014,910"
ASOPRODUCTOS,ASOPRODUCTOS,3,3,Bancaribe,2,1,1,"911,127","1,822","523,548","387,579"
AVICOLA LAS TUNAS,AVICOLA LAS TUNAS,1,2,Mercantil,"2,319","1,207","1,112","4,570,675,235","9,141,350","2,126,753,190","2,443,922,044"
AVICOLA LAS TUNAS,AVICOLA LAS TUNAS,2,1,Banco de Venezuela,"3,545","1,088","2,457","3,911,224,536","7,822,449","1,973,537,083","1,937,687,453"
AVICOLA LAS TUNAS,AVICOLA LAS TUNAS,3,3,BBVA,847,682,165,"1,566,929,060","3,133,858","901,361,528","665,567,532"
AVICOLA LAS TUNAS,AVICOLA LAS TUNAS,4,4,BNC,648,178,470,"478,294,857","956,590","248,644,395","229,650,463"
AVICOLA LAS TUNAS,AVICOLA LAS TUNAS,5,6,Banesco,177,65,112,"170,473,473","340,947","86,296,292","84,177,180"
CAMOR INTERNACIONAL,CAMOR INTERNACIONAL,1,1,Banesco,"18,801","9,447","9,354","3,448,234,671","6,896,469","1,725,374,158","1,722,860,513"
CAMOR INTERNACIONAL,CAMOR INTERNACIONAL,2,2,BNC,"17,089","16,065","1,024","514,664,498","1,029,329","259,427,297","255,237,201"
CAMOR INTERNACIONAL,CAMOR INTERNACIONAL,3,4,Banco Exterior,"4,953","2,567","2,386","401,019,124","802,038","200,181,392","200,837,731"
CAMOR INTERNACIONAL,CAMOR INTERNACIONAL,4,3,Mercantil,"11,531","5,642","5,889","368,717,027","737,434","209,109,223","159,607,804"
CAMOR INTERNACIONAL,CAMOR INTERNACIONAL,5,5,BBVA,711,45,666,"41,951,113","83,902","21,299,590","20,651,523"
Capitalfoods,Capitalfoods,1,2,Mercantil,276,91,185,"614,128,658","1,228,257","306,629,378","307,499,281"
Capitalfoods,Capitalfoods,2,1,Banesco,896,293,603,"398,728,806","797,458","200,301,311","198,427,495"
Capitalfoods,Capitalfoods,3,7,100% Banco,126,44,82,"122,142,371","244,285","61,073,520","61,068,851"
Capitalfoods,Capitalfoods,4,5,BBVA,176,66,110,"62,858,827","125,718","31,308,361","31,550,467"
Capitalfoods,Capitalfoods,5,6,Bancaribe,154,86,68,"52,066,098","104,132","25,970,739","26,095,359"
Casagri de Lara,Casagri de Lara ,1,1,Banesco,990,165,825,"4,895,753,451","9,791,507","2,387,782,754","2,507,970,697"
Casagri de Lara,Casagri de Lara ,2,2,BBVA,783,345,438,"3,630,374,507","7,260,749","1,781,114,303","1,849,260,203"
Casagri de Lara,Casagri de Lara ,3,3,Mercantil,689,136,553,"1,769,131,928","3,538,264","884,163,772","884,968,157"
Casagri de Lara,Casagri de Lara ,4,5,Venezolano Credito,154,31,123,"773,773,462","1,547,547","386,527,401","387,246,061"
Casagri de Lara,Casagri de Lara ,5,4,Banco de Venezuela,554,164,390,"709,222,073","1,418,444","353,632,865","355,589,207"
Grupo Maralac,Grupo Maralac,1,1,Banesco,"1,168",311,857,"2,018,180,638","4,036,361","1,011,067,512","1,007,113,125"
Grupo Maralac,Grupo Maralac,2,2,BNC,"1,042",309,733,"1,654,275,074","3,308,550","827,735,625","826,539,449"
Grupo Maralac,Grupo Maralac,3,5,Mercantil,127,24,103,"1,028,626,900","2,057,254","414,684,114","613,942,786"
Grupo Maralac,Grupo Maralac,4,3,BBVA,426,221,205,"374,076,446","748,153","184,390,351","189,686,095"
Grupo Maralac,Grupo Maralac,5,4,Banco de Venezuela,148,89,59,"86,083,357","172,167","41,621,034","44,462,324"
Grupo Mimesa,Grupo Mimesa,1,2,Banco de Venezuela,"1,328",839,489,"11,358,776,128","22,717,552","5,705,024,979","5,653,751,149"
Grupo Mimesa,Grupo Mimesa,2,1,BBVA,"1,447",895,552,"8,936,143,153","17,872,286","4,549,041,175","4,387,101,978"
Grupo Mimesa,Grupo Mimesa,3,3,Banesco,"1,017",755,262,"4,744,862,932","9,489,726","2,145,687,468","2,599,175,464"
Grupo Mimesa,Grupo Mimesa,4,4,Mercantil,924,585,339,"4,045,212,990","8,090,426","1,894,204,835","2,151,008,155"
Grupo Mimesa,Grupo Mimesa,5,6,Bancamiga,3,0,3,"269,261",539,,"269,261"
Molinos Carabobo SA,Molinos Carabobo SA,1,2,Mercantil,"3,525","2,021","1,504","21,073,138,814","42,146,278","9,462,925,643","11,610,213,170"
Molinos Carabobo SA,Molinos Carabobo SA,2,1,Banesco,"7,624","6,303","1,321","20,696,479,792","41,392,960","10,283,190,558","10,413,289,234"
Molinos Carabobo SA,Molinos Carabobo SA,3,4,BNC,"1,021",906,115,"12,944,674,556","25,889,349","6,775,988,239","6,168,686,317"
Molinos Carabobo SA,Molinos Carabobo SA,4,3,Banco de Venezuela,"2,265","1,794",471,"6,466,076,132","12,932,152","3,219,139,295","3,246,936,837"
Molinos Carabobo SA,Molinos Carabobo SA,5,5,BBVA,440,386,54,"3,328,611,667","6,657,223","1,674,025,454","1,654,586,213"
Molinos Nacionales CA,Molinos Nacionales CA,1,1,BBVA,"2,247","1,447",800,"51,133,242,420","102,266,485","25,725,201,828","25,408,040,592"
Molinos Nacionales CA,Molinos Nacionales CA,2,2,BNC,618,571,47,"1,151,866,490","2,303,733","496,811,837","655,054,653"
Molinos Nacionales CA,Molinos Nacionales CA,3,3,Bancaribe,38,30,8,"28,096,758","56,194","23,343,786","4,752,972"
PASTCA,PASTCA,1,6,Banplus,322,144,178,"645,199,434","1,290,399","312,098,501","333,100,933"
PASTCA,PASTCA,2,1,Banesco,"1,249",893,356,"535,191,313","1,070,383","274,726,368","260,464,945"
PASTCA,PASTCA,3,2,BBVA,"1,033",574,459,"430,538,152","861,076","180,299,437","250,238,716"
PASTCA,PASTCA,4,3,Mercantil,992,549,443,"320,566,514","641,133","152,250,771","168,315,743"
PASTCA,PASTCA,5,5,Venezolano Credito,529,190,339,"288,753,828","577,508","126,040,121","162,713,707"
Procesadora Marsoca,Procesadora Marsoca,1,1,Mercantil,"1,484",334,"1,150","2,062,860,132","4,125,720","1,055,796,839","1,007,063,293"
Procesadora Marsoca,Procesadora Marsoca,2,2,BNC,495,98,397,"1,005,489,747","2,010,979","501,830,433","503,659,314"
Procesadora Marsoca,Procesadora Marsoca,3,3,Banco Exterior,462,136,326,"379,103,145","758,206","173,552,261","205,550,885"
Procesadora Marsoca,Procesadora Marsoca,4,4,Banesco,423,140,283,"269,560,446","539,121","132,792,011","136,768,435"
Procesadora Marsoca,Procesadora Marsoca,5,5,BBVA,212,46,166,"172,416,532","344,833","88,157,560","84,258,972"
Protinal,Protinal,1,1,Mercantil,"2,325",888,"1,437","4,757,556,515","9,515,113","2,230,264,050","2,527,292,465"
Protinal,Protinal,2,4,BNC,"1,595",851,744,"3,264,972,040","6,529,944","1,632,487,872","1,632,484,168"
Protinal,Protinal,3,3,Banco de Venezuela,"1,802","1,067",735,"2,688,459,013","5,376,918","1,398,839,520","1,289,619,493"
Protinal,Protinal,4,2,BBVA,"1,898","1,127",771,"2,579,519,017","5,159,038","1,288,493,546","1,291,025,471"
Protinal,Protinal,5,5,Banesco,447,266,181,"677,230,673","1,354,461","335,161,251","342,069,421"
suvica,suvica,1,1,Banesco,915,197,718,"496,117,978","992,236","245,094,722","251,023,256"
suvica,suvica,2,3,Mercantil,371,79,292,"298,467,877","596,936","148,659,211","149,808,667"
suvica,suvica,3,4,Banplus,265,72,193,"159,209,644","318,419","76,125,950","83,083,694"
suvica,suvica,4,2,BBVA,463,74,389,"129,745,439","259,491","64,734,453","65,010,986"
suvica,suvica,5,5,Banco Plaza,131,23,108,"46,116,278","92,233","25,636,865","20,479,412"
TORONDOY,TORONDOY,1,1,BBVA,184,32,152,"25,066,617","50,133","12,534,494","12,532,123"
TORONDOY,TORONDOY,2,2,Bancaribe,37,7,30,"21,546,683","43,093","10,773,751","10,772,932"
TORONDOY,TORONDOY,3,3,Banplus,26,7,19,"2,532,132","5,064","1,266,530","1,265,603"
